x1,x2,y
803,35,646872
444,13,197762
9,92,8646
970,19,942250
458,1,210224
398,49,161252
348,28,122264
895,68,806612
747,42,560562
503,82,260318
906,85,829052
601,69,366632
545,84,304710
198,47,41658
143,52,23348
63,74,9582
632,60,403716
903,77,822318
662,6,438948
126,91,24374
91,78,14534
516,24,267372
14,34,1400
176,18,31494
476,1,227054
571,23,327164
163,82,33538
85,34,8500
633,29,402192
176,82,37958
856,94,742522
307,22,95062
175,8,30872
756,30,573222
24,32,1656
733,76,543874
378,37,144668
425,56,184242
760,85,585670
4,19,400
974,59,953190
357,97,137312
740,12,548496
679,34,462910
768,85,597902
146,68,26154
678,30,461292
751,11,564884
10,47,2366
87,73,13058
227,6,51798
653,70,432032
126,88,23834
113,2,12888
924,35,855960
931,92,876248
595,16,354892
866,20,751242
668,68,451584
438,60,195942
476,84,234192
876,3,768264
722,97,531512
258,57,70128
669,48,450582
69,54,7800
690,79,483110
154,29,24740
460,41,213782
1,97,9508
864,23,747912
810,96,666222
616,13,380254
368,33,136914
275,51,78552
312,93,106398
306,59,97482
210,62,48216
515,8,265812
626,77,398508
221,62,52968
412,71,175268
84,21,7602
616,24,380672
660,3,436272
36,58,4754
336,81,119874
187,60,38816
472,47,225512
379,35,145280
540,97,301646
383,27,147828
477,13,228188
590,9,348780
651,61,428234
352,12,124412
315,68,104232
672,60,455916
41,62,5628
867,23,753108
